iter	Passed	Remaining
0	5	5454
1	11	5576
2	17	5689
3	22	5524
4	27	5518
5	34	5761
6	40	5798
7	46	5823
8	52	5829
9	58	5796
10	64	5787
11	70	5820
12	75	5764
13	83	5845
14	89	5904
15	96	5922
16	103	5972
17	111	6074
18	118	6102
19	124	6102
20	131	6121
21	138	6146
22	144	6141
23	150	6138
24	156	6102
25	162	6104
26	169	6106
27	175	6103
28	183	6129
29	188	6101
30	195	6103
31	200	6072
32	206	6040
33	212	6031
34	219	6063
35	226	6077
36	232	6050
37	237	6021
38	244	6018
39	249	5992
40	254	5963
41	260	5942
42	265	5915
43	270	5885
44	276	5862
45	281	5842
46	286	5819
47	292	5804
48	297	5781
49	303	5761
50	308	5747
51	314	5732
52	319	5709
53	326	5711
54	331	5690
55	336	5671
56	342	5664
57	347	5650
58	353	5632
59	360	5641
60	365	5625
61	370	5612
62	376	5603
63	382	5590
64	388	5585
65	393	5569
66	398	5553
67	404	5542
68	409	5528
69	415	5516
70	420	5506
71	426	5498
72	432	5486
73	437	5473
74	442	5462
75	448	5447
76	452	5427
77	458	5414
78	463	5403
79	468	5390
80	474	5380
81	479	5367
82	484	5356
83	490	5348
84	496	5343
85	501	5332
86	507	5321
87	512	5308
88	517	5296
89	522	5285
90	528	5276
91	533	5266
92	539	5261
93	544	5249
94	550	5240
95	555	5230
96	560	5219
97	564	5193
98	569	5184
99	575	5177
100	580	5168
101	586	5163
102	591	5152
103	596	5142
104	602	5136
105	607	5126
106	613	5116
107	618	5110
108	624	5102
109	629	5092
110	636	5099
111	642	5091
112	647	5085
113	653	5079
114	658	5070
115	664	5060
116	669	5054
117	674	5045
118	680	5038
119	685	5028
120	691	5019
121	696	5013
122	701	5005
123	706	4994
124	712	4984
125	717	4978
126	722	4968
127	727	4958
128	733	4955
129	739	4946
130	744	4938
131	750	4933
132	755	4923
133	761	4920
134	767	4917
135	773	4913
136	779	4907
137	784	4900
138	789	4892
139	795	4885
140	800	4877
141	805	4869
142	811	4861
143	816	4853
144	821	4846
145	827	4838
146	832	4830
147	836	4816
148	841	4807
149	847	4801
150	852	4795
151	858	4786
152	863	4781
153	869	4777
154	874	4768
155	880	4762
156	885	4754
157	890	4747
158	896	4742
159	901	4734
160	907	4726
161	913	4725
162	918	4717
163	923	4709
164	929	4703
165	934	4696
166	939	4686
167	945	4681
168	950	4673
169	955	4663
170	960	4657
171	966	4650
172	971	4644
173	977	4640
174	982	4633
175	988	4626
176	993	4620
177	999	4613
178	1004	4605
179	1009	4597
180	1014	4592
181	1020	4585
182	1025	4580
183	1031	4573
184	1036	4564
185	1041	4558
186	1047	4553
187	1053	4550
188	1059	4547
189	1065	4540
190	1070	4532
191	1075	4525
192	1081	4521
193	1086	4513
194	1092	4508
195	1097	4501
196	1102	4493
197	1108	4488
198	1113	4480
199	1118	4472
200	1124	4468
201	1129	4460
202	1134	4453
203	1140	4448
204	1145	4442
205	1150	4434
206	1155	4427
207	1161	4421
208	1166	4414
209	1171	4408
210	1177	4402
211	1182	4394
212	1188	4392
213	1194	4386
214	1200	4381
215	1205	4374
216	1210	4367
217	1215	4359
218	1221	4354
219	1226	4347
220	1231	4341
221	1236	4334
222	1241	4327
223	1247	4321
224	1252	4314
225	1257	4307
226	1262	4300
227	1268	4295
228	1274	4289
229	1278	4281
230	1284	4274
231	1289	4267
232	1294	4262
233	1300	4255
234	1305	4249
235	1310	4243
236	1315	4236
237	1321	4231
238	1327	4226
239	1332	4220
240	1338	4214
241	1343	4209
242	1349	4203
243	1354	4198
244	1360	4192
245	1365	4185
246	1371	4181
247	1376	4175
248	1382	4169
249	1387	4163
250	1393	4156
251	1398	4150
252	1403	4144
253	1409	4138
254	1414	4132
255	1420	4127
256	1425	4120
257	1430	4113
258	1435	4107
259	1440	4100
260	1445	4094
261	1451	4088
262	1456	4081
263	1461	4074
264	1468	4072
265	1473	4066
266	1479	4060
267	1484	4055
268	1490	4049
269	1495	4043
270	1500	4037
271	1505	4030
272	1511	4024
273	1517	4019
274	1522	4012
275	1527	4006
276	1532	4000
277	1537	3994
278	1543	3987
279	1548	3980
280	1553	3974
281	1558	3969
282	1564	3964
283	1570	3958
284	1575	3951
285	1580	3946
286	1585	3939
287	1591	3933
288	1596	3927
289	1601	3921
290	1607	3916
291	1612	3910
292	1618	3905
293	1623	3899
294	1629	3893
295	1634	3887
296	1639	3880
297	1644	3875
298	1650	3868
299	1655	3862
300	1660	3857
301	1666	3851
302	1671	3845
303	1677	3839
304	1682	3833
305	1687	3826
306	1692	3820
307	1697	3814
308	1702	3808
309	1708	3802
310	1713	3796
311	1718	3790
312	1724	3784
313	1729	3778
314	1734	3772
315	1740	3766
316	1746	3762
317	1751	3755
318	1756	3750
319	1761	3744
320	1767	3738
321	1772	3732
322	1778	3727
323	1783	3720
324	1788	3714
325	1794	3709
326	1799	3702
327	1803	3695
328	1809	3690
329	1814	3684
330	1819	3678
331	1825	3672
332	1830	3666
333	1835	3660
334	1841	3655
335	1846	3648
336	1851	3642
337	1857	3637
338	1862	3630
339	1867	3624
340	1872	3618
341	1877	3612
342	1883	3607
343	1889	3602
344	1894	3596
345	1899	3590
346	1905	3585
347	1910	3579
348	1915	3572
349	1921	3567
